L_ns,runtime_ns,runtime_ms,elapsed_s,G_ns_per_byte,o_ns,g_ns
0,8970108878,8970.108878,1151.2984077315778,0.04,200,5
4000,8986083317,8986.083317,801.5608490947634,0.04,200,5
10000,8983966968,8983.966968,799.4766963664442,0.04,200,5
250000,9339442440,9339.44244,737.1349952910095,0.04,200,5
500000,9913840457,9913.840457,693.6576633695513,0.04,200,5
1000000,11088151497,11088.151497,630.5272059459239,0.04,200,5
