L,expected_runtime,actual_runtime,abs_diff,rel_diff_pct
0.0,8337436671.400001,8337437793.400001,1122.0,1.3457373581604628e-05
5000.0,8338348144.2,8338332883.799997,-15260.400002479553,-0.00018301466595748228
10000.0,8341363437.8,8341344607.399998,-18830.400002479553,-0.00022574726713317736
15000.0,8344473437.8,8344454607.399998,-18830.400002479553,-0.0002256631307276849
20000.0,8347677603.000001,8347664862.6,-12740.400000572205,-0.0001526220897174268
25000.0,8351087603.000001,8351074862.6,-12740.400000572205,-0.00015255976953223926
30000.0,8354497603.000001,8354484862.6,-12740.400000572205,-0.00015249750022068684
35000.0,8357907603.000001,8357894862.6,-12740.400000572205,-0.00015243528172050077
40000.0,8361317603.000001,8361304862.6,-12740.400000572205,-0.00015237311396951373
45000.0,8364727603.000001,8364714862.6,-12740.400000572205,-0.0001523109969056598
50000.0,8368137603.000001,8368124862.6,-12740.400000572205,-0.00015224893046697434
55000.0,8371547603.000001,8371534862.6,-12740.400000572205,-0.0001521869145915935
60000.0,8374957603.000001,8374944862.6,-12740.400000572205,-0.00015212494921775432
65000.0,8378367603.000001,8378354862.6,-12740.400000572205,-0.00015206303428379428
70000.0,8381777603.000001,8381764862.6,-12740.400000572205,-0.00015200116972815132
75000.0,8385187603.000001,8385174862.6,-12740.400000572205,-0.00015193935548936342
80000.0,8388597603.000001,8388584862.6,-12740.400000572205,-0.0001518775915060686
85000.0,8392007603.000001,8391994862.6,-12740.400000572205,-0.00015181587771700451
90000.0,8395417603.000001,8395404862.6,-12740.400000572205,-0.00015175421406100843
95000.0,8398827603.000001,8398814862.6,-12740.400000572205,-0.0001516926004770169
100000.0,8402237603.000001,8402224862.6,-12740.400000572205,-0.00015163103690406555
105000.0,8405647603.000001,8405634862.6,-12740.400000572205,-0.0001515695232812891
110000.0,8409057603.000001,8409044862.6,-12740.400000572205,-0.0001515080595479208
115000.0,8412467603.000001,8412454862.6,-12740.400000572205,-0.00015144664564329264
120000.0,8415877603.000001,8415864862.6,-12740.400000572205,-0.00015138528150683472
125000.0,8419287603.000001,8419274862.6,-12740.400000572205,-0.0001513239670780754
130000.0,8422697603.000001,8422684862.6,-12740.400000572205,-0.00015126270229664094
135000.0,8426107603.000001,8426094862.6,-12740.400000572205,-0.00015120148710225537
140000.0,8429517603.000001,8429504862.6,-12740.400000572205,-0.00015114032143474015
145000.0,8432927603.000001,8432914862.6,-12740.400000572205,-0.0001510792052340142
150000.0,8436337603.000001,8436324862.6,-12740.400000572205,-0.00015101813844009348
155000.0,8439747603.000001,8439734862.6,-12740.400000572205,-0.00015095712099309094
160000.0,8443157603.000001,8443144862.6,-12740.400000572205,-0.00015089615283321632
165000.0,8446567603.000001,8446554862.6,-12740.400000572205,-0.00015083523390077582
170000.0,8449977603.000001,8449964862.6,-12740.400000572205,-0.00015077436413617207
175000.0,8453387603.000001,8453374862.6,-12740.400000572205,-0.0001507135434799038
180000.0,8456797603.000001,8456784862.6,-12740.400000572205,-0.00015065277187256582
185000.0,8460207603.000001,8460194862.6,-12740.400000572205,-0.00015059204925484856
190000.0,8463617603.000001,8463604862.6,-12740.400000572205,-0.0001505313755675382
195000.0,8467027603.000001,8467014862.6,-12740.400000572205,-0.00015047075075151617
200000.0,8470437603.000001,8470424862.6,-12740.400000572205,-0.00015041017474775917
205000.0,8473847603.000001,8473834862.6,-12740.400000572205,-0.0001503496474973389
210000.0,8477257603.000001,8477244862.6,-12740.400000572205,-0.0001502891689414219
215000.0,8480667603.000001,8480654862.6,-12740.400000572205,-0.00015022873902126928
220000.0,8484077603.000001,8484064862.6,-12740.400000572205,-0.00015016835767823661
225000.0,8487487603.000001,8487474862.6,-12740.400000572205,-0.00015010802485377372
230000.0,8490897603.000001,8490884862.6,-12740.400000572205,-0.00015004774048942447
235000.0,8494307603.000001,8494294862.6,-12740.400000572205,-0.00014998750452682662
240000.0,8497717603.000001,8497704862.6,-12740.400000572205,-0.00014992731690771158
245000.0,8501127603.000001,8501114862.6,-12740.400000572205,-0.0001498671775739043
250000.0,8504537603.000001,8504524862.6,-12740.400000572205,-0.00014980708646732292
255000.0,8507947603.000001,8507934862.6,-12740.400000572205,-0.00014974704352997884
260000.0,8511357603.000001,8511344862.6,-12740.400000572205,-0.00014968704870397634
265000.0,8514767603.000001,8514754862.6,-12740.400000572205,-0.00014962710193151238
270000.0,8518177603.000001,8518164862.6,-12740.400000572205,-0.00014956720315487652
275000.0,8521587603.000001,8521574862.6,-12740.400000572205,-0.00014950735231645078
280000.0,8524997603.000001,8524984862.6,-12740.400000572205,-0.00014944754935870922
285000.0,8528407603.000001,8528394862.6,-12740.400000572205,-0.000149387794224218
290000.0,8531817603.000001,8531804862.6,-12740.400000572205,-0.00014932808685563507
295000.0,8535227603.000001,8535214862.6,-12740.400000572205,-0.00014926842719571005
300000.0,8538637603.000001,8538624862.6,-12740.400000572205,-0.00014920881518728398
305000.0,8542047603.000001,8542034862.6,-12740.400000572205,-0.00014914925077328913
310000.0,8545457603.000001,8545444862.6,-12740.400000572205,-0.000149089733896749
315000.0,8548867603.000001,8548854862.6,-12740.400000572205,-0.0001490302645007778
320000.0,8552277603.000001,8552264862.6,-12740.400000572205,-0.00014897084252858065
325000.0,8555687603.000001,8555674862.6,-12740.400000572205,-0.00014891146792345316
330000.0,8559097603.000001,8559084862.6,-12740.400000572205,-0.00014885214062878123
335000.0,8562507603.000001,8562494862.6,-12740.400000572205,-0.000148792860588041
340000.0,8565917603.000001,8565904862.6,-12740.400000572205,-0.0001487336277447987
