name,status,rows,min_L_ns,max_L_ns,runtime_ms_min,runtime_ms_max,timed_elapsed,max_rss_kib,max_rss_gib,exit_status_from_time,csv,log
manual_grok_N128_lgs_fresh_patched_tmp,complete,6,0.0,1000000.0,8973.541568,11087.621014,1:36:38,52467868,50.03725814819336,0,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/output/grok_n128/lgs/sweeps/lgs_runtime.csv,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/manual_logs/grok_N128_lgs_fresh_patched_tmp.log
manual_grok_N256_lgs_fresh_patched_tmp,partial,5,0.0,500000.0,9168.341365,11171.884155,6:00:00,201270800,191.94679260253906,124,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/output/grok_n256/lgs/sweeps/lgs_runtime.csv,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/manual_logs/grok_N256_lgs_fresh_patched_tmp.log
