name,status,returncode,elapsed_s,timed_elapsed,max_rss_kib,max_rss_gib,exit_status_from_time,log
grok_N32_lgs_fresh,ok,0,1039.338079193607,17:19.33,7397168,7.0544891357421875,0,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/logs/grok_N32_lgs_fresh.log
grok_N64_lgs_fresh,ok,0,3253.1679834965616,54:13.16,24744332,23.598033905029297,0,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/logs/grok_N64_lgs_fresh.log
grok_N128_lgs_fresh,failed,1,308.79418851062655,5:08.79,118236,0.11275863647460938,1,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/logs/grok_N128_lgs_fresh.log
grok_N256_lgs_fresh,failed,143,279.0205192267895,4:39.01,16640,0.015869140625,0,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/logs/grok_N256_lgs_fresh.log
grok_N4_monolithic_point_fresh,ok,0,218.83006677404046,3:38.82,4109072,3.9187164306640625,0,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/logs/grok_N4_monolithic_point_fresh.log
grok_N8_monolithic_point_fresh,ok,0,242.96485444903374,4:02.96,4590868,4.378192901611328,0,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/logs/grok_N8_monolithic_point_fresh.log
grok_N16_monolithic_point_fresh,ok,0,561.1529119703919,9:21.15,10525592,10.037986755371094,0,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/logs/grok_N16_monolithic_point_fresh.log
grok_N32_monolithic_point_fresh,ok,0,2600.3904897589236,43:20.38,43918480,41.88392639160156,0,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/logs/grok_N32_monolithic_point_fresh.log
grok_N64_monolithic_point_fresh,ok,0,18705.1876299344,5:11:45,139870664,133.39105987548828,0,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/logs/grok_N64_monolithic_point_fresh.log
grok_node_scaling_plot_fresh_outputs,ok,0,52.41569556295872,0:52.41,335404,0.3198661804199219,0,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/logs/grok_node_scaling_plot_fresh_outputs.log
