nodeId,channelId,prevRank,myRank,nextRank,pid,commId
005067,0,35,39,38,109938,0x68397d93bb6f627d
005067,1,38,39,43,109938,0x68397d93bb6f627d
005067,2,36,39,38,109938,0x68397d93bb6f627d
005067,3,36,39,37,109938,0x68397d93bb6f627d
005067,4,35,39,38,109938,0x68397d93bb6f627d
005067,5,38,39,43,109938,0x68397d93bb6f627d
005067,6,36,39,38,109938,0x68397d93bb6f627d
005067,7,36,39,37,109938,0x68397d93bb6f627d
005067,0,39,38,37,109937,0x68397d93bb6f627d
005067,1,37,38,39,109937,0x68397d93bb6f627d
005067,2,39,38,42,109937,0x68397d93bb6f627d
005067,3,34,38,36,109937,0x68397d93bb6f627d
005067,4,39,38,37,109937,0x68397d93bb6f627d
005067,5,37,38,39,109937,0x68397d93bb6f627d
005067,6,39,38,42,109937,0x68397d93bb6f627d
005067,7,34,38,36,109937,0x68397d93bb6f627d
005067,0,38,37,36,109936,0x68397d93bb6f627d
005067,1,36,37,38,109936,0x68397d93bb6f627d
005067,2,33,37,36,109936,0x68397d93bb6f627d
005067,3,39,37,41,109936,0x68397d93bb6f627d
005067,4,38,37,36,109936,0x68397d93bb6f627d
005067,5,36,37,38,109936,0x68397d93bb6f627d
005067,6,33,37,36,109936,0x68397d93bb6f627d
005067,7,39,37,41,109936,0x68397d93bb6f627d
005067,0,37,36,40,109935,0x68397d93bb6f627d
005067,1,32,36,37,109935,0x68397d93bb6f627d
005067,2,37,36,39,109935,0x68397d93bb6f627d
005067,3,38,36,39,109935,0x68397d93bb6f627d
005067,4,37,36,40,109935,0x68397d93bb6f627d
005067,5,32,36,37,109935,0x68397d93bb6f627d
005067,6,37,36,39,109935,0x68397d93bb6f627d
005067,7,38,36,39,109935,0x68397d93bb6f627d
005067,0,0,0,0,109937,0x87556359ce537c3
005067,1,0,0,0,109937,0x87556359ce537c3
005067,2,0,0,0,109937,0x87556359ce537c3
005067,3,0,0,0,109937,0x87556359ce537c3
005067,4,0,0,0,109937,0x87556359ce537c3
005067,5,0,0,0,109937,0x87556359ce537c3
005067,6,0,0,0,109937,0x87556359ce537c3
005067,7,0,0,0,109937,0x87556359ce537c3
005067,8,0,0,0,109937,0x87556359ce537c3
005067,9,0,0,0,109937,0x87556359ce537c3
005067,10,0,0,0,109937,0x87556359ce537c3
005067,11,0,0,0,109937,0x87556359ce537c3
005067,12,0,0,0,109937,0x87556359ce537c3
005067,13,0,0,0,109937,0x87556359ce537c3
005067,14,0,0,0,109937,0x87556359ce537c3
005067,15,0,0,0,109937,0x87556359ce537c3
005067,16,0,0,0,109937,0x87556359ce537c3
005067,17,0,0,0,109937,0x87556359ce537c3
005067,18,0,0,0,109937,0x87556359ce537c3
005067,19,0,0,0,109937,0x87556359ce537c3
005067,20,0,0,0,109937,0x87556359ce537c3
005067,21,0,0,0,109937,0x87556359ce537c3
005067,22,0,0,0,109937,0x87556359ce537c3
