nodeId,commHash,commId,rank,nRanks,pid
005082,0x2d781de58a6079e7,0xe7d12636594460c0,86,128,248493
005082,0x9fff5ebd56f8794e,0x5fe61315372bd36d,0,1,248491
005082,0x65ea74b9c11e9bd9,0xe7abd9a9be1cef58,0,1,248492
005082,0xc1b098e3275af4b,0x361b324ca5ea69f0,0,1,248494
005082,0x44c9c1d5747c3786,0x6d939f2644cf08f1,0,1,248493
005081,0x5536c7d9bd44d567,0x68397d93bb6f627d,83,128,241895
005081,0x5536c7d9bd44d567,0x68397d93bb6f627d,81,128,241893
005081,0x5536c7d9bd44d567,0x68397d93bb6f627d,82,128,241894
005081,0x5536c7d9bd44d567,0x68397d93bb6f627d,80,128,241892
005081,0x379506d459c617d0,0x6506f2350082e483,0,1,241892
005081,0x9db8b57e961caffb,0xe448649db6e84ce8,0,1,241893
005081,0x8b906417472db516,0xfce12549633fd222,0,1,241894
005081,0x32e369d3c63aa5b0,0x2d8b096bc91869b5,0,1,241895
005081,0x2d781de58a6079e7,0xe7d12636594460c0,80,128,241892
005081,0x2d781de58a6079e7,0xe7d12636594460c0,81,128,241893
005081,0x2d781de58a6079e7,0xe7d12636594460c0,82,128,241894
005081,0x2d781de58a6079e7,0xe7d12636594460c0,83,128,241895
005081,0x5cf583768c2e9319,0x10602b85fa6a18c,0,1,241895
005081,0x683bf2d367cb2bc7,0xe4d65f6b598f2f0,0,1,241893
005081,0xa23414930dd360a0,0x885d8889e274b738,0,1,241894
005081,0x1aa229ca94da1f41,0x32d0a3ce4bd035c8,0,1,241892
005075,0x5536c7d9bd44d567,0x68397d93bb6f627d,64,128,243497
005075,0x5536c7d9bd44d567,0x68397d93bb6f627d,65,128,243498
005075,0x5536c7d9bd44d567,0x68397d93bb6f627d,66,128,243499
005075,0x5536c7d9bd44d567,0x68397d93bb6f627d,67,128,243500
005075,0xebe78002d290c294,0x190c0fe02d32c659,0,1,243498
005075,0x9f3bd8f029c25f6d,0x185a0977044e642b,0,1,243497
005075,0x1b3266c459affa6f,0x894fab4bb8166c63,0,1,243500
005075,0x7ea7064d9b237904,0x77f46749d7198034,0,1,243499
005075,0x2d781de58a6079e7,0xe7d12636594460c0,66,128,243499
005075,0x2d781de58a6079e7,0xe7d12636594460c0,67,128,243500
005075,0x2d781de58a6079e7,0xe7d12636594460c0,64,128,243497
005075,0x2d781de58a6079e7,0xe7d12636594460c0,65,128,243498
005075,0x34be76abe7993315,0x73cf4f2c68e487a2,0,1,243498
005075,0xdd217341b63825d0,0x2946c1037d418187,0,1,243500
005075,0xc5679a3040934946,0x79b41914bf031738,0,1,243499
005075,0x13f30a93f090b427,0xd212596e8b78df92,0,1,243497
005062,0x5536c7d9bd44d567,0x68397d93bb6f627d,16,128,211092
005062,0x5536c7d9bd44d567,0x68397d93bb6f627d,17,128,211093
005062,0x5536c7d9bd44d567,0x68397d93bb6f627d,18,128,211094
005062,0x5536c7d9bd44d567,0x68397d93bb6f627d,19,128,211095
005062,0x99e986e8afb28871,0x832b266731a8dc94,0,1,211095
005062,0xc0bb085409d558ca,0xc945f3e193310c65,0,1,211094
005062,0x2be933805db63e00,0x8d2fd63c0e47100f,0,1,211092
005062,0xa5d15eba142bde16,0x8d366627f9fcd6ce,0,1,211093
005062,0x2d781de58a6079e7,0xe7d12636594460c0,19,128,211095
005062,0x2d781de58a6079e7,0xe7d12636594460c0,18,128,211094
