signature,count,status,reason,lp_vars,lp_constrs,n_pieces,error
allgather_ring_simple_65909760B_8r_16ch,1,ok,lp,18572,40968,2,
allgather_ring_simple_35483136B_8r_16ch,1,ok,lp,13964,30728,2,
reducescatter_ring_simple_12582912B_8r_16ch,64,ok,lp,4748,10248,2,
allgather_ring_simple_36283392B_8r_16ch,1,ok,lp,13964,30728,2,
allgather_ring_simple_49348608B_8r_16ch,1,ok,lp,13964,30728,2,
allgather_ring_simple_12582912B_8r_16ch,96,ok,lp,4748,10248,2,
allgather_ring_ll_49152B_8r_12ch,32,ok,lp,1452,3464,2,
reducescatter_ring_simple_49348608B_8r_16ch,1,ok,lp,13964,30728,2,
reducescatter_ring_simple_36283392B_8r_16ch,1,ok,lp,13964,30728,2,
reducescatter_ring_simple_35483136B_8r_16ch,1,ok,lp,13964,30728,2,
reducescatter_ring_simple_65909760B_8r_16ch,1,ok,lp,18572,40968,2,
allreduce_ring_ll_1978368B_8r_16ch,1,ok,lp,1036,3720,1,
