L,runtime,status,solve_s
0.0,3968433.2691200064,2,0.0502321309177205
200000.0,10072753.9072,2,0.03227242093998939
400000.0,16443293.90143999,2,0.04254371102433652
600000.0,22843293.90143996,2,0.014857237925752997
800000.0,29243293.901439928,2,0.005227401969023049
1000000.0,35643293.901439905,2,0.0052468900103122
