nodeId,channelId,prevRank,myRank,nextRank,pid,commId
007126,0,62,63,0,53613,0x9bb79b7391685e09
007126,1,60,63,62,53613,0x9bb79b7391685e09
007126,2,61,63,60,53613,0x9bb79b7391685e09
007126,3,57,63,62,53613,0x9bb79b7391685e09
007126,4,62,63,0,53613,0x9bb79b7391685e09
007126,5,60,63,62,53613,0x9bb79b7391685e09
007126,6,61,63,60,53613,0x9bb79b7391685e09
007126,7,57,63,62,53613,0x9bb79b7391685e09
007090,0,42,43,44,128141,0x9bb79b7391685e09
007090,1,40,43,42,128141,0x9bb79b7391685e09
007090,2,41,43,40,128141,0x9bb79b7391685e09
007090,3,37,43,42,128141,0x9bb79b7391685e09
007090,4,42,43,44,128141,0x9bb79b7391685e09
007090,5,40,43,42,128141,0x9bb79b7391685e09
007090,6,41,43,40,128141,0x9bb79b7391685e09
007090,7,37,43,42,128141,0x9bb79b7391685e09
007074,0,26,27,28,41322,0x9bb79b7391685e09
007074,1,24,27,26,41322,0x9bb79b7391685e09
007074,2,25,27,24,41322,0x9bb79b7391685e09
007074,3,21,27,26,41322,0x9bb79b7391685e09
007074,4,26,27,28,41322,0x9bb79b7391685e09
007074,5,24,27,26,41322,0x9bb79b7391685e09
007074,6,25,27,24,41322,0x9bb79b7391685e09
007074,7,21,27,26,41322,0x9bb79b7391685e09
007112,0,54,55,56,172477,0x9bb79b7391685e09
007112,1,52,55,54,172477,0x9bb79b7391685e09
007112,2,53,55,52,172477,0x9bb79b7391685e09
007112,3,49,55,54,172477,0x9bb79b7391685e09
007112,4,54,55,56,172477,0x9bb79b7391685e09
007112,5,52,55,54,172477,0x9bb79b7391685e09
007112,6,53,55,52,172477,0x9bb79b7391685e09
007112,7,49,55,54,172477,0x9bb79b7391685e09
007029,0,0,1,2,201755,0x9bb79b7391685e09
007029,1,62,1,0,201755,0x9bb79b7391685e09
007029,2,2,1,3,201755,0x9bb79b7391685e09
007029,3,0,1,7,201755,0x9bb79b7391685e09
007029,4,0,1,2,201755,0x9bb79b7391685e09
007029,5,62,1,0,201755,0x9bb79b7391685e09
007029,6,2,1,3,201755,0x9bb79b7391685e09
007029,7,0,1,7,201755,0x9bb79b7391685e09
007095,0,43,44,45,117965,0x9bb79b7391685e09
007095,1,45,44,47,117965,0x9bb79b7391685e09
007095,2,47,44,50,117965,0x9bb79b7391685e09
007095,3,46,44,45,117965,0x9bb79b7391685e09
007095,4,43,44,45,117965,0x9bb79b7391685e09
007095,5,45,44,47,117965,0x9bb79b7391685e09
007095,6,47,44,50,117965,0x9bb79b7391685e09
007095,7,46,44,45,117965,0x9bb79b7391685e09
007029,0,1,2,3,201757,0x9bb79b7391685e09
007029,1,3,2,5,201757,0x9bb79b7391685e09
007029,2,60,2,1,201757,0x9bb79b7391685e09
007029,3,3,2,0,201757,0x9bb79b7391685e09
007029,4,1,2,3,201757,0x9bb79b7391685e09
007029,5,3,2,5,201757,0x9bb79b7391685e09
007029,6,60,2,1,201757,0x9bb79b7391685e09
007029,7,3,2,0,201757,0x9bb79b7391685e09
007090,0,41,42,43,128139,0x9bb79b7391685e09
007090,1,43,42,45,128139,0x9bb79b7391685e09
007090,2,36,42,41,128139,0x9bb79b7391685e09
007090,3,43,42,40,128139,0x9bb79b7391685e09
007090,4,41,42,43,128139,0x9bb79b7391685e09
007090,5,43,42,45,128139,0x9bb79b7391685e09
007090,6,36,42,41,128139,0x9bb79b7391685e09
007090,7,43,42,40,128139,0x9bb79b7391685e09
007074,0,25,26,27,41324,0x9bb79b7391685e09
007074,1,27,26,29,41324,0x9bb79b7391685e09
007074,2,20,26,25,41324,0x9bb79b7391685e09
007074,3,27,26,24,41324,0x9bb79b7391685e09
007074,4,25,26,27,41324,0x9bb79b7391685e09
007074,5,27,26,29,41324,0x9bb79b7391685e09
007074,6,20,26,25,41324,0x9bb79b7391685e09
007074,7,27,26,24,41324,0x9bb79b7391685e09
007045,0,17,18,19,149833,0x9bb79b7391685e09
007045,1,19,18,21,149833,0x9bb79b7391685e09
007045,2,12,18,17,149833,0x9bb79b7391685e09
007045,3,19,18,16,149833,0x9bb79b7391685e09
007045,4,17,18,19,149833,0x9bb79b7391685e09
007045,5,19,18,21,149833,0x9bb79b7391685e09
007045,6,12,18,17,149833,0x9bb79b7391685e09
007045,7,19,18,16,149833,0x9bb79b7391685e09
007097,0,49,50,51,5161,0x9bb79b7391685e09
007097,1,51,50,53,5161,0x9bb79b7391685e09
007097,2,44,50,49,5161,0x9bb79b7391685e09
007097,3,51,50,48,5161,0x9bb79b7391685e09
007097,4,49,50,51,5161,0x9bb79b7391685e09
007097,5,51,50,53,5161,0x9bb79b7391685e09
007097,6,44,50,49,5161,0x9bb79b7391685e09
007097,7,51,50,48,5161,0x9bb79b7391685e09
007126,0,60,61,62,53609,0x9bb79b7391685e09
007126,1,58,61,60,53609,0x9bb79b7391685e09
007126,2,62,61,63,53609,0x9bb79b7391685e09
007126,3,60,61,3,53609,0x9bb79b7391685e09
007126,4,60,61,62,53609,0x9bb79b7391685e09
007126,5,58,61,60,53609,0x9bb79b7391685e09
007126,6,62,61,63,53609,0x9bb79b7391685e09
007126,7,60,61,3,53609,0x9bb79b7391685e09
007074,0,24,25,26,41326,0x9bb79b7391685e09
007074,1,22,25,24,41326,0x9bb79b7391685e09
007074,2,26,25,27,41326,0x9bb79b7391685e09
007074,3,24,25,31,41326,0x9bb79b7391685e09
007074,4,24,25,26,41326,0x9bb79b7391685e09
007074,5,22,25,24,41326,0x9bb79b7391685e09
007074,6,26,25,27,41326,0x9bb79b7391685e09
007074,7,24,25,31,41326,0x9bb79b7391685e09
007089,0,38,39,40,97164,0x9bb79b7391685e09
007089,1,36,39,38,97164,0x9bb79b7391685e09
007089,2,37,39,36,97164,0x9bb79b7391685e09
007089,3,33,39,38,97164,0x9bb79b7391685e09
007089,4,38,39,40,97164,0x9bb79b7391685e09
007089,5,36,39,38,97164,0x9bb79b7391685e09
007089,6,37,39,36,97164,0x9bb79b7391685e09
007089,7,33,39,38,97164,0x9bb79b7391685e09
007126,0,61,62,63,53611,0x9bb79b7391685e09
007126,1,63,62,1,53611,0x9bb79b7391685e09
007126,2,56,62,61,53611,0x9bb79b7391685e09
007126,3,63,62,60,53611,0x9bb79b7391685e09
007126,4,61,62,63,53611,0x9bb79b7391685e09
007126,5,63,62,1,53611,0x9bb79b7391685e09
007126,6,56,62,61,53611,0x9bb79b7391685e09
007126,7,63,62,60,53611,0x9bb79b7391685e09
007089,0,37,38,39,97168,0x9bb79b7391685e09
007089,1,39,38,41,97168,0x9bb79b7391685e09
007089,2,32,38,37,97168,0x9bb79b7391685e09
007089,3,39,38,36,97168,0x9bb79b7391685e09
007089,4,37,38,39,97168,0x9bb79b7391685e09
007089,5,39,38,41,97168,0x9bb79b7391685e09
007089,6,32,38,37,97168,0x9bb79b7391685e09
007089,7,39,38,36,97168,0x9bb79b7391685e09
007082,0,28,29,30,74532,0x9bb79b7391685e09
007082,1,26,29,28,74532,0x9bb79b7391685e09
007082,2,30,29,31,74532,0x9bb79b7391685e09
007082,3,28,29,35,74532,0x9bb79b7391685e09
007082,4,28,29,30,74532,0x9bb79b7391685e09
007082,5,26,29,28,74532,0x9bb79b7391685e09
007082,6,30,29,31,74532,0x9bb79b7391685e09
007082,7,28,29,35,74532,0x9bb79b7391685e09
007041,0,7,8,9,160424,0x9bb79b7391685e09
007041,1,9,8,11,160424,0x9bb79b7391685e09
007041,2,11,8,14,160424,0x9bb79b7391685e09
007041,3,10,8,9,160424,0x9bb79b7391685e09
007041,4,7,8,9,160424,0x9bb79b7391685e09
007041,5,9,8,11,160424,0x9bb79b7391685e09
007041,6,11,8,14,160424,0x9bb79b7391685e09
007041,7,10,8,9,160424,0x9bb79b7391685e09
007074,0,23,24,25,41325,0x9bb79b7391685e09
007074,1,25,24,27,41325,0x9bb79b7391685e09
007074,2,27,24,30,41325,0x9bb79b7391685e09
007074,3,26,24,25,41325,0x9bb79b7391685e09
007074,4,23,24,25,41325,0x9bb79b7391685e09
007074,5,25,24,27,41325,0x9bb79b7391685e09
007074,6,27,24,30,41325,0x9bb79b7391685e09
007074,7,26,24,25,41325,0x9bb79b7391685e09
007045,0,15,16,17,149837,0x9bb79b7391685e09
007045,1,17,16,19,149837,0x9bb79b7391685e09
007045,2,19,16,22,149837,0x9bb79b7391685e09
007045,3,18,16,17,149837,0x9bb79b7391685e09
007045,4,15,16,17,149837,0x9bb79b7391685e09
007045,5,17,16,19,149837,0x9bb79b7391685e09
007045,6,19,16,22,149837,0x9bb79b7391685e09
007045,7,18,16,17,149837,0x9bb79b7391685e09
007112,0,51,52,53,172489,0x9bb79b7391685e09
007112,1,53,52,55,172489,0x9bb79b7391685e09
007112,2,55,52,58,172489,0x9bb79b7391685e09
007112,3,54,52,53,172489,0x9bb79b7391685e09
007112,4,51,52,53,172489,0x9bb79b7391685e09
007112,5,53,52,55,172489,0x9bb79b7391685e09
007112,6,55,52,58,172489,0x9bb79b7391685e09
007112,7,54,52,53,172489,0x9bb79b7391685e09
007095,0,44,45,46,117957,0x9bb79b7391685e09
007095,1,42,45,44,117957,0x9bb79b7391685e09
