nodeId,pid,goal_rank,participant,nranks,eventId,commId,collective,stream,start,end,groupId,parallelism,context_label,instance_ordinal,instance_id,algo,proto,root,redOp,data_size,type_size,chunkSteps,sliceSteps,stepSize,channels,channel_work_bytes,channel_chunk_bytes
7029,201755,4,1,64,12720,0x9bb79b7391685e09,AllReduce,0xaaad53b76750,164762318495,164766966687,100,Other,0,0,0x9bb79b7391685e09_allreduce_0,ring,simple,0,0,134217728,4,4,2,524288,8,"16777216,16777216,16777216,16777216,16777216,16777216,16777216,16777216","2097152,2097152,2097152,2097152,2097152,2097152,2097152,2097152"
7029,201757,6,2,64,18168,0x9bb79b7391685e09,AllReduce,0xaaad341a2210,164855490090,164860138026,100,Other,0,0,0x9bb79b7391685e09_allreduce_0,ring,simple,0,0,134217728,4,4,2,524288,8,"16777216,16777216,16777216,16777216,16777216,16777216,16777216,16777216","2097152,2097152,2097152,2097152,2097152,2097152,2097152,2097152"
