lgs_L_ns,composite_L_ns,lgs_runtime_ns,composite_runtime_ns,abs_diff_ns,rel_diff
0,-0.2669998502733506,30041022281,29985257779.931915,-55764501.06808472,0.00185628
4000,3999.7330001497266,30064263935,30020101902.508015,-44162032.49198532,0.00146892
10000,8000.0,30116627049,30059640315.500793,-56986733.49920654,0.00189220
