bw_gbps,G_inter_ns_per_byte,fixed_l_ns,runtime_ns,runtime_ms,supported_collectives,unsupported_collectives,n_unique_sigs,solved_unique_sigs,cache_hits,lp_vars,lp_constrs,unique_solve_time_s,wall_time_s
10.0,0.8,4000.0,16107014741.600002,16107.014741600002,136,12,8,8,0,5219360,9916416,331.62124848365784,84.38447952270508
13.06189880700996,0.6124683798428006,4000.0,12345620880.139261,12345.62088013926,136,12,8,8,0,5219360,9916416,325.9699077606201,82.55619168281555
17.061320044456814,0.4688968953840815,4000.0,9465976734.024641,9465.976734024642,136,12,8,8,0,5219360,9916416,326.7936170101166,82.83088707923889
22.285323593470558,0.35898065228650944,4000.0,7261333233.099511,7261.333233099511,136,12,8,8,0,5219360,9916416,324.2208731174469,82.14960718154907
29.108864165938385,0.27483037312603786,4000.0,5573518387.117096,5573.518387117096,136,12,8,8,0,5219360,9916416,323.23909425735474,81.88377594947815
38.02170381224855,0.210406141700121,4000.0,4281332132.8281956,4281.332132828195,136,12,8,8,0,5219360,9916416,323.43030309677124,82.12646961212158
49.66356476656955,0.16108388589505976,4000.0,3292052210.192756,3292.0522101927563,136,12,8,8,0,5219360,9916416,324.15781354904175,82.48130249977112
64.87004573763163,0.12332348326616234,4000.0,2534681227.377682,2534.6812273776823,136,12,8,8,0,5219360,9916416,323.5626618862152,82.19319915771484
84.73259730310522,0.09441466749074647,4000.0,1954871804.386377,1954.871804386377,136,12,8,8,0,5219360,9916416,322.44643330574036,82.5736198425293
110.67686116282854,0.07228249803931777,4000.0,1510946242.931019,1510.946242931019,136,12,8,8,0,5219360,9916416,322.82074451446533,82.09544944763184
144.56499607863563,0.055338430581414244,4000.0,1171108128.6155689,1171.1081286155688,136,12,8,8,0,5219360,9916416,319.40955781936646,81.24929690361023
188.82933498149313,0.042366298651552566,4000.0,910916881.2672496,910.9168812672496,136,12,8,8,0,5219360,9916416,322.8568956851959,82.0284583568573
246.6469665323248,0.0324350228688158,4000.0,711712310.2369663,711.7123102369662,136,12,8,8,0,5219360,9916416,319.50936627388,81.60483002662659
322.16777179011973,0.02483178238328476,4000.0,559201333.033967,559.201333033967,136,12,8,8,0,5219360,9916416,330.1643078327179,84.50688767433167
420.812283400242,0.01901085190612428,4000.0,442469775.5100038,442.4697755100038,136,12,8,8,0,5219360,9916416,322.5732343196869,82.76830792427063
549.6607462520756,0.014554432082969198,4000.0,353081996.310849,353.08199631084904,136,12,8,8,0,5219360,9916416,325.09174132347107,85.69505572319031
717.9613045730193,0.011142661796735273,4000.0,285228254.0946262,285.2282540946262,136,12,8,8,0,5219360,9916416,320.8053126335144,81.40625834465027
937.7937907681641,0.008530660022228399,4000.0,245842611.11917725,245.84261111917726,136,12,8,8,0,5219360,9916416,321.8807852268219,81.61366653442383
1224.9367596856025,0.006530949403504973,4000.0,231977596.64801034,231.97759664801035,136,12,8,8,0,5219360,9916416,322.30715799331665,81.5896565914154
1600.0,0.005,4000.0,228947803.77839997,228.9478037784,136,12,8,8,0,5219360,9916416,312.9543869495392,79.73277711868286
