bw_gbps,G_inter_ns_per_byte,fixed_l_ns,runtime_ns,runtime_ms,supported_collectives,unsupported_collectives,n_unique_sigs,solved_unique_sigs,cache_hits,lp_vars,lp_constrs,unique_solve_time_s,wall_time_s
10.0,0.8,4000.0,16107018925.600002,16107.018925600003,136,12,8,8,0,5219360,9916416,331.52736735343933,42.579606771469116
13.06189880700996,0.6124683798428006,4000.0,12345628048.139261,12345.62804813926,136,12,8,8,0,5219360,9916416,342.187459230423,44.129650831222534
17.061320044456814,0.4688968953840815,4000.0,9465963208.024641,9465.963208024641,136,12,8,8,0,5219360,9916416,330.39490008354187,42.87935209274292
22.285323593470558,0.35898065228650944,4000.0,7261355903.099511,7261.355903099511,136,12,8,8,0,5219360,9916416,330.3433475494385,42.62749361991882
29.108864165938385,0.27483037312603786,4000.0,5573501847.117096,5573.501847117096,136,12,8,8,0,5219360,9916416,330.1790614128113,42.31912660598755
38.02170381224855,0.210406141700121,4000.0,4281334232.8281956,4281.334232828195,136,12,8,8,0,5219360,9916416,329.7126455307007,42.18571329116821
49.66356476656955,0.16108388589505976,4000.0,3292073452.192756,3292.073452192756,136,12,8,8,0,5219360,9916416,330.13596415519714,42.34826993942261
64.87004573763163,0.12332348326616234,4000.0,2534696465.377682,2534.696465377682,136,12,8,8,0,5219360,9916416,331.19296050071716,42.96418881416321
84.73259730310522,0.09441466749074647,4000.0,1954860618.386377,1954.8606183863772,136,12,8,8,0,5219360,9916416,330.41448950767517,42.49907112121582
110.67686116282854,0.07228249803931777,4000.0,1510960194.931019,1510.960194931019,136,12,8,8,0,5219360,9916416,330.4714970588684,42.63688659667969
144.56499607863563,0.055338430581414244,4000.0,1171105440.6155689,1171.1054406155688,136,12,8,8,0,5219360,9916416,332.6135003566742,47.052531719207764
188.82933498149313,0.042366298651552566,4000.0,910913251.2672496,910.9132512672496,136,12,8,8,0,5219360,9916416,332.6923735141754,43.267807483673096
246.6469665323248,0.0324350228688158,4000.0,711711294.2369663,711.7112942369663,136,12,8,8,0,5219360,9916416,330.18862867355347,42.43313121795654
322.16777179011973,0.02483178238328476,4000.0,559209803.033967,559.209803033967,136,12,8,8,0,5219360,9916416,342.4418225288391,44.17738628387451
420.812283400242,0.01901085190612428,4000.0,442465991.5100038,442.4659915100038,136,12,8,8,0,5219360,9916416,341.6093912124634,43.93167233467102
549.6607462520756,0.014554432082969198,4000.0,353081016.310849,353.081016310849,136,12,8,8,0,5219360,9916416,342.07423281669617,44.12259125709534
717.9613045730193,0.011142661796735273,4000.0,285221877.5400269,285.2218775400269,136,12,8,8,0,5219360,9916416,329.90167570114136,42.295324087142944
937.7937907681641,0.008530660022228399,4000.0,245484105.5832141,245.4841055832141,136,12,8,8,0,5219360,9916416,332.0629150867462,42.92176556587219
1224.9367596856025,0.006530949403504973,4000.0,230769648.64801034,230.76964864801033,136,12,8,8,0,5219360,9916416,329.87528443336487,42.2937376499176
1600.0,0.005,4000.0,229653338.40319997,229.65333840319997,136,12,8,8,0,5219360,9916416,331.4026825428009,42.77118539810181
