bw_gbps,G_inter_ns_per_byte,fixed_l_ns,runtime_ns,runtime_ms,supported_collectives,unsupported_collectives,n_unique_sigs,solved_unique_sigs,cache_hits,lp_vars,lp_constrs,unique_solve_time_s,wall_time_s
10.0,0.8,4000.0,16106999345.600002,16106.999345600003,136,12,8,8,0,5219360,9916416,342.7313883304596,88.83703184127808
13.06189880700996,0.6124683798428006,4000.0,12345615540.139261,12345.61554013926,136,12,8,8,0,5219360,9916416,340.50669527053833,86.47411584854126
17.061320044456814,0.4688968953840815,4000.0,9465959378.024641,9465.959378024641,136,12,8,8,0,5219360,9916416,339.8902077674866,86.137686252594
22.285323593470558,0.35898065228650944,4000.0,7261333949.099511,7261.333949099511,136,12,8,8,0,5219360,9916416,340.4967346191406,86.55322623252869
29.108864165938385,0.27483037312603786,4000.0,5573513103.117096,5573.513103117096,136,12,8,8,0,5219360,9916416,338.64502000808716,85.79676222801208
38.02170381224855,0.210406141700121,4000.0,4281349438.8281956,4281.349438828195,136,12,8,8,0,5219360,9916416,338.13981008529663,86.34445810317993
49.66356476656955,0.16108388589505976,4000.0,3292071244.192756,3292.0712441927562,136,12,8,8,0,5219360,9916416,344.4838306903839,91.6858823299408
64.87004573763163,0.12332348326616234,4000.0,2534709395.377682,2534.709395377682,136,12,8,8,0,5219360,9916416,335.6024353504181,85.7576413154602
84.73259730310522,0.09441466749074647,4000.0,1954858740.386377,1954.8587403863771,136,12,8,8,0,5219360,9916416,338.4767441749573,85.74966979026794
110.67686116282854,0.07228249803931777,4000.0,1510958240.931019,1510.958240931019,136,12,8,8,0,5219360,9916416,336.82723021507263,85.938143491745
144.56499607863563,0.055338430581414244,4000.0,1171089446.6155689,1171.089446615569,136,12,8,8,0,5219360,9916416,337.00897550582886,85.39902234077454
188.82933498149313,0.042366298651552566,4000.0,910898333.2672496,910.8983332672495,136,12,8,8,0,5219360,9916416,338.8343884944916,86.23918533325195
246.6469665323248,0.0324350228688158,4000.0,711717862.2369663,711.7178622369662,136,12,8,8,0,5219360,9916416,335.32973647117615,85.1148316860199
322.16777179011973,0.02483178238328476,4000.0,559207477.033967,559.207477033967,136,12,8,8,0,5219360,9916416,335.87292528152466,85.07816457748413
420.812283400242,0.01901085190612428,4000.0,442460285.5100038,442.4602855100038,136,12,8,8,0,5219360,9916416,337.79988527297974,85.64040327072144
549.6607462520756,0.014554432082969198,4000.0,353088652.310849,353.088652310849,136,12,8,8,0,5219360,9916416,336.08635210990906,85.63415503501892
717.9613045730193,0.011142661796735273,4000.0,285231374.0946262,285.2313740946262,136,12,8,8,0,5219360,9916416,348.88278007507324,90.74788451194763
937.7937907681641,0.008530660022228399,4000.0,246519631.55073497,246.51963155073497,136,12,8,8,0,5219360,9916416,334.0878143310547,86.3070421218872
1224.9367596856025,0.006530949403504973,4000.0,232774451.49380884,232.77445149380884,136,12,8,8,0,5219360,9916416,335.4221112728119,85.13080382347107
1600.0,0.005,4000.0,229615591.32,229.61559132,136,12,8,8,0,5219360,9916416,333.4706652164459,84.73046922683716
