L,runtime_ns,runtime_ms,elapsed_s,max_rss_mb
0,1266706732,1266.706732,245.21036624908447,10958.1875
250000,1461847128,1461.847128,199.42670035362244,10985.4296875
500000,2477469930,2477.46993,188.62200498580933,10975.94140625
750000,3509340720,3509.34072,182.81443071365356,10981.90625
1000000,4542434281,4542.434281,186.3496823310852,10981.72265625
