L_ns,L_us,runtime_ns,runtime_ms,runtime_s
0.0,0.0,10564134520.0,10564.13452,10.56413452
5000.0,5.0,10564134520.0,10564.13452,10.56413452
10000.0,10.0,10564134520.0,10564.13452,10.56413452
15000.0,15.0,10564134520.0,10564.13452,10.56413452
20000.0,20.0,10564134520.0,10564.13452,10.56413452
25000.0,25.0,10625693395.880222,10625.693395880222,10.625693395880223
30000.0,30.0,10738223395.880222,10738.223395880223,10.738223395880222
35000.0,35.0,10850753395.880222,10850.753395880221,10.850753395880222
40000.0,40.0,10963283395.880222,10963.283395880222,10.963283395880222
45000.0,45.0,11075813395.880222,11075.813395880223,11.075813395880223
50000.0,50.0,11188343395.880222,11188.343395880222,11.188343395880223
55000.0,55.0,11300873395.880222,11300.873395880222,11.300873395880222
60000.0,60.0,11413403395.880222,11413.403395880223,11.413403395880222
65000.0,65.0,11525933395.880222,11525.933395880222,11.525933395880223
70000.0,70.0,11638463395.880222,11638.463395880222,11.638463395880223
75000.0,75.0,11750993395.880222,11750.993395880223,11.750993395880222
80000.0,80.0,11863523395.880222,11863.523395880222,11.863523395880222
85000.0,85.0,11976053395.880222,11976.053395880223,11.976053395880223
90000.0,90.0,12088583395.880222,12088.583395880223,12.088583395880223
95000.0,95.0,12201113395.880222,12201.113395880222,12.201113395880222
100000.0,100.0,12313643395.880222,12313.643395880223,12.313643395880222
105000.0,105.0,12426173395.880222,12426.173395880222,12.426173395880223
110000.0,110.0,12538703395.880222,12538.703395880222,12.538703395880223
115000.0,115.0,12651233395.880222,12651.233395880223,12.651233395880222
120000.0,120.0,12763763395.880222,12763.763395880222,12.763763395880222
125000.0,125.0,12876293395.880222,12876.293395880222,12.876293395880221
130000.0,130.0,12988823395.880222,12988.823395880223,12.988823395880223
135000.0,135.0,13101353395.880222,13101.353395880222,13.101353395880222
140000.0,140.0,13213883395.880222,13213.883395880222,13.213883395880222
145000.0,145.0,13326413395.880222,13326.413395880223,13.326413395880222
150000.0,150.0,13438943395.880222,13438.943395880222,13.438943395880223
155000.0,155.0,13551473395.880222,13551.473395880223,13.551473395880222
160000.0,160.0,13664003395.880222,13664.003395880221,13.664003395880222
165000.0,165.0,13776533395.880222,13776.533395880222,13.776533395880222
170000.0,170.0,13889063395.880222,13889.063395880223,13.889063395880223
175000.0,175.0,14001593395.880222,14001.593395880222,14.001593395880223
180000.0,180.0,14114123395.880222,14114.123395880222,14.114123395880222
185000.0,185.0,14226653395.880222,14226.653395880223,14.226653395880222
190000.0,190.0,14339183395.880222,14339.183395880222,14.339183395880223
195000.0,195.0,14451713395.880222,14451.713395880222,14.451713395880223
200000.0,200.0,14564243395.880222,14564.243395880223,14.564243395880222
205000.0,205.0,14676773395.880222,14676.773395880222,14.676773395880222
210000.0,210.0,14789303395.880222,14789.303395880223,14.789303395880223
215000.0,215.0,14901833395.880222,14901.833395880223,14.901833395880223
220000.0,220.0,15014363395.880222,15014.363395880222,15.014363395880222
225000.0,225.0,15126893395.880222,15126.893395880223,15.126893395880222
230000.0,230.0,15239423395.880222,15239.423395880222,15.239423395880221
235000.0,235.0,15351953395.880222,15351.953395880222,15.351953395880223
240000.0,240.0,15464483395.880222,15464.483395880223,15.464483395880222
245000.0,245.0,15577013395.880222,15577.013395880222,15.577013395880222
250000.0,250.0,15689543395.880222,15689.543395880222,15.689543395880222
255000.0,255.0,15802073395.880222,15802.073395880223,15.802073395880223
260000.0,260.0,15914603395.880222,15914.603395880222,15.914603395880222
265000.0,265.0,16027133395.880222,16027.133395880222,16.027133395880224
270000.0,270.0,16139663395.880222,16139.663395880223,16.139663395880223
275000.0,275.0,16252193395.880222,16252.193395880222,16.252193395880223
280000.0,280.0,16364723395.880222,16364.723395880223,16.364723395880223
285000.0,285.0,16477253395.880222,16477.253395880223,16.477253395880222
290000.0,290.0,16589783395.880222,16589.783395880222,16.58978339588022
295000.0,295.0,16702313395.880222,16702.31339588022,16.70231339588022
300000.0,300.0,16814843395.880222,16814.843395880223,16.81484339588022
305000.0,305.0,16927373395.880222,16927.373395880222,16.927373395880224
310000.0,310.0,17039903395.880222,17039.90339588022,17.039903395880224
315000.0,315.0,17152433395.880222,17152.433395880224,17.152433395880223
320000.0,320.0,17264963395.880222,17264.963395880222,17.264963395880223
325000.0,325.0,17377493395.880222,17377.49339588022,17.377493395880222
330000.0,330.0,17490023395.880222,17490.023395880224,17.490023395880222
335000.0,335.0,17602553395.880222,17602.553395880223,17.60255339588022
340000.0,340.0,17715083395.880222,17715.08339588022,17.71508339588022
345000.0,345.0,17827613395.880222,17827.613395880224,17.827613395880224
350000.0,350.0,17940143395.880222,17940.143395880223,17.940143395880224
355000.0,355.0,18052673395.880222,18052.67339588022,18.052673395880223
360000.0,360.0,18165203395.880222,18165.203395880224,18.165203395880223
365000.0,365.0,18277733395.880222,18277.733395880223,18.277733395880222
370000.0,370.0,18390263395.880222,18390.26339588022,18.390263395880222
375000.0,375.0,18502793395.880222,18502.793395880224,18.50279339588022
380000.0,380.0,18615323395.880222,18615.323395880223,18.61532339588022
385000.0,385.0,18727853395.880222,18727.85339588022,18.72785339588022
390000.0,390.0,18840383395.880222,18840.38339588022,18.840383395880224
395000.0,395.0,18952913395.880222,18952.913395880223,18.952913395880223
400000.0,400.0,19065443395.880222,19065.443395880222,19.065443395880223
405000.0,405.0,19177973395.880222,19177.97339588022,19.177973395880223
410000.0,410.0,19290503395.880222,19290.503395880223,19.290503395880222
415000.0,415.0,19403033395.880222,19403.033395880222,19.40303339588022
420000.0,420.0,19515563395.880222,19515.56339588022,19.51556339588022
425000.0,425.0,19628093395.880222,19628.093395880223,19.62809339588022
430000.0,430.0,19740623395.880222,19740.623395880222,19.740623395880224
435000.0,435.0,19853153395.880222,19853.15339588022,19.853153395880224
440000.0,440.0,19965683395.880222,19965.683395880224,19.965683395880223
445000.0,445.0,20078213395.880222,20078.213395880222,20.078213395880223
450000.0,450.0,20190743395.880222,20190.74339588022,20.190743395880222
455000.0,455.0,20303273395.880222,20303.273395880224,20.303273395880222
460000.0,460.0,20415803395.880222,20415.803395880223,20.41580339588022
465000.0,465.0,20528333395.880222,20528.33339588022,20.52833339588022
470000.0,470.0,20640863395.880222,20640.863395880224,20.64086339588022
475000.0,475.0,20753393395.880222,20753.393395880223,20.753393395880224
480000.0,480.0,20865923395.880222,20865.92339588022,20.865923395880223
485000.0,485.0,20978453395.880222,20978.453395880224,20.978453395880223
490000.0,490.0,21090983395.880222,21090.983395880223,21.090983395880222
495000.0,495.0,21203513395.880222,21203.51339588022,21.203513395880222
500000.0,500.0,21316043395.880222,21316.043395880224,21.31604339588022
505000.0,505.0,21428573395.880222,21428.573395880223,21.42857339588022
510000.0,510.0,21541103395.880222,21541.10339588022,21.54110339588022
515000.0,515.0,21653633395.880222,21653.63339588022,21.653633395880224
520000.0,520.0,21766163395.880222,21766.163395880223,21.766163395880223
525000.0,525.0,21878693395.880222,21878.693395880222,21.878693395880223
530000.0,530.0,21991223395.880222,21991.22339588022,21.991223395880223
535000.0,535.0,22103753395.880222,22103.753395880223,22.103753395880222
540000.0,540.0,22216283395.880222,22216.283395880222,22.21628339588022
545000.0,545.0,22328813395.880222,22328.81339588022,22.32881339588022
550000.0,550.0,22441343395.880222,22441.343395880223,22.44134339588022
555000.0,555.0,22553873395.880222,22553.873395880222,22.553873395880224
560000.0,560.0,22666403395.880222,22666.40339588022,22.666403395880224
565000.0,565.0,22778933395.880222,22778.933395880224,22.778933395880223
570000.0,570.0,22891463395.880222,22891.463395880222,22.891463395880223
575000.0,575.0,23003993395.880222,23003.99339588022,23.003993395880222
580000.0,580.0,23116523395.880222,23116.523395880224,23.116523395880222
585000.0,585.0,23229053395.880222,23229.053395880223,23.22905339588022
590000.0,590.0,23341583395.880222,23341.58339588022,23.34158339588022
595000.0,595.0,23454113395.880222,23454.113395880224,23.45411339588022
600000.0,600.0,23566643395.880222,23566.643395880223,23.566643395880224
605000.0,605.0,23679173395.880222,23679.17339588022,23.679173395880223
610000.0,610.0,23791703395.880222,23791.703395880224,23.791703395880223
615000.0,615.0,23904233395.880222,23904.233395880223,23.904233395880222
620000.0,620.0,24016763395.880222,24016.76339588022,24.016763395880222
625000.0,625.0,24129293395.880222,24129.293395880224,24.12929339588022
630000.0,630.0,24241823395.880222,24241.823395880223,24.24182339588022
635000.0,635.0,24354353395.880222,24354.35339588022,24.35435339588022
640000.0,640.0,24466883395.880222,24466.88339588022,24.466883395880224
645000.0,645.0,24579413395.880222,24579.413395880223,24.579413395880223
650000.0,650.0,24691943395.880222,24691.943395880222,24.691943395880223
655000.0,655.0,24804473395.880222,24804.47339588022,24.804473395880223
660000.0,660.0,24917003395.880222,24917.003395880223,24.917003395880222
665000.0,665.0,25029533395.880222,25029.533395880222,25.02953339588022
670000.0,670.0,25142063395.880222,25142.06339588022,25.14206339588022
675000.0,675.0,25254593395.880222,25254.593395880223,25.25459339588022
680000.0,680.0,25367123395.880222,25367.123395880222,25.367123395880224
685000.0,685.0,25479653395.880222,25479.65339588022,25.479653395880224
690000.0,690.0,25592183395.880222,25592.183395880224,25.592183395880223
695000.0,695.0,25704713395.880222,25704.713395880222,25.704713395880223
700000.0,700.0,25817243395.880222,25817.24339588022,25.817243395880222
