bw_gbps,G_inter_ns_per_byte,runtime_ns,runtime_ms,runtime_s
10.0,0.8,8530571816.400015,8530.571816400015,8.530571816400016
12.733802,0.6282491277938828,8122118981.441269,8122.118981441269,8.12211898144127
16.214971,0.4933712184869156,7801356334.229625,7801.356334229625,7.801356334229625
20.647824,0.3874500286325571,7564198725.571986,7564.198725571986,7.564198725571986
26.29253,0.30426893113747516,7554060526.0,7554.060526,7.554060526
33.480387,0.2389458640367568,7554060526.0,7554.060526,7.554060526
42.633262,0.18764691287286436,7554060526.0,7554.060526,7.554060526
54.288352,0.1473612608465256,7554060526.0,7554.060526,7.554060526
69.129713,0.11572447870570504,7554060526.0,7554.060526,7.554060526
88.028408,0.09087975327237544,7554060526.0,7554.060526,7.554060526
112.093633,0.07136890638561068,7554060526.0,7554.060526,7.554060526
142.737813,0.056046816410168766,7554060526.0,7554.060526,7.554060526
181.759506,0.04401420413191484,7554060526.0,7554.060526,7.554060526
231.448957,0.034564856561440455,7554060526.0,7554.060526,7.554060526
294.72252,0.02714417615593135,7554060526.0,7554.060526,7.554060526
375.293823,0.02131663115595697,7554060526.0,7554.060526,7.554060526
477.891725,0.016740193607662907,7554060526.0,7554.060526,7.554060526
608.537863,0.013146264984336726,7554060526.0,7554.060526,7.554060526
774.900069,0.010323911843657352,7554060526.0,7554.060526,7.554060526
986.742408,0.008107485738061032,7554060526.0,7554.060526,7.554060526
1256.498251,0.006366901023247027,7554060526.0,7554.060526,7.554060526
1600.0,0.005,7554060526.0,7554.060526,7.554060526
