L_ns,L_us,runtime_ns,runtime_ms,runtime_s
0.0,0.0,7554101562.0,7554.101562,7.554101562
5000.0,5.0,7554101562.0,7554.101562,7.554101562
10000.0,10.0,7554101562.0,7554.101562,7.554101562
15000.0,15.0,7576246939.400063,7576.246939400063,7.576246939400063
20000.0,20.0,7632456939.400063,7632.456939400063,7.632456939400063
25000.0,25.0,7688666939.400063,7688.666939400063,7.688666939400062
30000.0,30.0,7744876939.400063,7744.876939400063,7.744876939400062
35000.0,35.0,7801086939.400063,7801.086939400063,7.801086939400062
40000.0,40.0,7857296939.400063,7857.296939400063,7.8572969394000625
45000.0,45.0,7913506939.400063,7913.506939400063,7.913506939400063
50000.0,50.0,7969716939.400063,7969.716939400063,7.969716939400063
55000.0,55.0,8025926939.400063,8025.926939400062,8.025926939400062
60000.0,60.0,8082136939.400063,8082.136939400062,8.082136939400062
65000.0,65.0,8138346939.400063,8138.346939400062,8.138346939400062
70000.0,70.0,8194556939.400063,8194.556939400063,8.194556939400062
75000.0,75.0,8250766939.400063,8250.766939400062,8.250766939400062
80000.0,80.0,8306976939.400063,8306.976939400063,8.306976939400062
85000.0,85.0,8363186939.400063,8363.186939400062,8.363186939400062
90000.0,90.0,8419396939.400063,8419.396939400063,8.419396939400063
95000.0,95.0,8475606939.400063,8475.606939400062,8.475606939400063
100000.0,100.0,8531816939.400063,8531.816939400063,8.531816939400063
105000.0,105.0,8588026939.400063,8588.026939400062,8.588026939400063
110000.0,110.0,8644236939.400063,8644.236939400063,8.644236939400063
115000.0,115.0,8700446939.400063,8700.446939400063,8.700446939400063
120000.0,120.0,8756656939.400063,8756.656939400062,8.756656939400063
125000.0,125.0,8812866939.400063,8812.866939400063,8.812866939400063
130000.0,130.0,8869076939.400063,8869.076939400062,8.869076939400063
135000.0,135.0,8925286939.400063,8925.286939400063,8.925286939400063
140000.0,140.0,8981496939.400063,8981.496939400062,8.981496939400063
145000.0,145.0,9037706939.400063,9037.706939400063,9.037706939400062
150000.0,150.0,9093916939.400063,9093.916939400062,9.093916939400062
155000.0,155.0,9150126939.400063,9150.126939400063,9.150126939400062
160000.0,160.0,9206336939.400063,9206.336939400062,9.206336939400062
165000.0,165.0,9262546939.400063,9262.546939400063,9.262546939400062
170000.0,170.0,9318756939.400063,9318.756939400062,9.318756939400062
175000.0,175.0,9374966939.400063,9374.966939400063,9.374966939400062
180000.0,180.0,9431176939.400063,9431.176939400062,9.431176939400062
185000.0,185.0,9487386939.400063,9487.386939400063,9.487386939400063
190000.0,190.0,9543596939.400063,9543.596939400062,9.543596939400063
195000.0,195.0,9599806939.400063,9599.806939400063,9.599806939400063
200000.0,200.0,9656016939.400063,9656.016939400062,9.656016939400063
205000.0,205.0,9712226939.400063,9712.226939400063,9.712226939400063
210000.0,210.0,9768436939.400063,9768.436939400062,9.768436939400063
215000.0,215.0,9824646939.400063,9824.646939400063,9.824646939400063
220000.0,220.0,9880856939.400063,9880.856939400062,9.880856939400063
225000.0,225.0,9937066939.400063,9937.066939400063,9.937066939400063
230000.0,230.0,9993276939.400063,9993.276939400062,9.993276939400063
235000.0,235.0,10049486939.400063,10049.486939400063,10.049486939400063
240000.0,240.0,10105696939.400063,10105.696939400063,10.105696939400062
245000.0,245.0,10161906939.400063,10161.906939400062,10.161906939400062
250000.0,250.0,10218116939.400063,10218.116939400063,10.218116939400062
255000.0,255.0,10274326939.400063,10274.326939400062,10.274326939400062
260000.0,260.0,10330536939.400063,10330.536939400063,10.330536939400062
265000.0,265.0,10386746939.400063,10386.746939400062,10.386746939400062
270000.0,270.0,10442956939.400063,10442.956939400063,10.442956939400062
275000.0,275.0,10499166939.400063,10499.166939400062,10.499166939400062
280000.0,280.0,10555376939.400063,10555.376939400063,10.555376939400062
285000.0,285.0,10611586939.400063,10611.586939400062,10.611586939400063
290000.0,290.0,10667796939.400063,10667.796939400063,10.667796939400063
295000.0,295.0,10724006939.400063,10724.006939400062,10.724006939400063
300000.0,300.0,10780216939.400063,10780.216939400063,10.780216939400063
305000.0,305.0,10836426939.400063,10836.426939400062,10.836426939400063
310000.0,310.0,10892636939.400063,10892.636939400063,10.892636939400063
315000.0,315.0,10948846939.400063,10948.846939400062,10.948846939400063
320000.0,320.0,11005056939.400063,11005.056939400063,11.005056939400063
325000.0,325.0,11061266939.400063,11061.266939400062,11.061266939400063
330000.0,330.0,11117476939.400063,11117.476939400063,11.117476939400063
335000.0,335.0,11173686939.400063,11173.686939400062,11.173686939400062
340000.0,340.0,11229896939.400063,11229.896939400063,11.229896939400062
345000.0,345.0,11286106939.400063,11286.106939400062,11.286106939400062
350000.0,350.0,11342316939.400063,11342.316939400063,11.342316939400062
355000.0,355.0,11398526939.400063,11398.526939400062,11.398526939400062
360000.0,360.0,11454736939.400063,11454.736939400063,11.454736939400062
365000.0,365.0,11510946939.400063,11510.946939400063,11.510946939400062
370000.0,370.0,11567156939.400063,11567.156939400062,11.567156939400062
375000.0,375.0,11623366939.400063,11623.366939400063,11.623366939400062
380000.0,380.0,11679576939.400063,11679.576939400062,11.679576939400063
385000.0,385.0,11735786939.400063,11735.786939400063,11.735786939400063
390000.0,390.0,11791996939.400063,11791.996939400062,11.791996939400063
395000.0,395.0,11848206939.400063,11848.206939400063,11.848206939400063
400000.0,400.0,11904416939.400063,11904.416939400062,11.904416939400063
405000.0,405.0,11960626939.400063,11960.626939400063,11.960626939400063
410000.0,410.0,12016836939.400063,12016.836939400062,12.016836939400063
415000.0,415.0,12073046939.400063,12073.046939400063,12.073046939400063
