signature,count,status,reason,lp_vars,lp_constrs,n_pieces,error
allgather_ring_simple_41235456B_16r_16ch,1,ok,lp,58644,129040,2,
allgather_ring_simple_17741568B_16r_16ch,2,ok,lp,39188,86032,2,
reducescatter_ring_simple_25165824B_16r_16ch,32,ok,lp,39188,86032,2,
allgather_ring_simple_150994944B_16r_16ch,32,ok,lp,175380,387088,1,
allgather_ring_simple_18140928B_16r_16ch,1,ok,lp,39188,86032,2,
allgather_ring_simple_18141696B_16r_16ch,1,ok,lp,39188,86032,2,
allgather_ring_simple_24674304B_16r_16ch,1,ok,lp,39188,86032,2,
allgather_ring_simple_25165824B_16r_16ch,48,ok,lp,39188,86032,2,
allgather_ring_ll_98304B_16r_16ch,16,ok,lp,7956,19472,2,
reducescatter_ring_simple_24674304B_16r_16ch,1,ok,lp,39188,86032,2,
reducescatter_ring_simple_150994944B_16r_16ch,32,ok,lp,175380,387088,1,
reducescatter_ring_simple_18141696B_16r_16ch,1,ok,lp,39188,86032,2,
reducescatter_ring_simple_17741568B_16r_16ch,2,ok,lp,39188,86032,2,
reducescatter_ring_simple_18140928B_16r_16ch,1,ok,lp,39188,86032,2,
reducescatter_ring_simple_41235456B_16r_16ch,1,ok,lp,58644,129040,2,
allreduce_ring_ll_3944448B_16r_16ch,1,ok,lp,4116,15632,1,
