L,expected_runtime,actual_runtime,abs_diff,rel_diff_pct
0.0,8600013940.160002,8600013940.160002,0.0,0.0
5000.0,8605964330.24,8605964330.24,0.0,0.0
10000.0,8612894330.24,8612894330.24,0.0,0.0
15000.0,8619824330.24,8619824330.24,0.0,0.0
20000.0,8626754330.24,8626754330.24,0.0,0.0
25000.0,8633684330.24,8633684330.24,0.0,0.0
30000.0,8640614330.24,8640614330.24,0.0,0.0
35000.0,8647544330.24,8647544330.24,0.0,0.0
40000.0,8654474330.24,8654474330.24,0.0,0.0
45000.0,8661404330.24,8661404330.24,0.0,0.0
50000.0,8668334330.24,8668334330.24,0.0,0.0
55000.0,8675264330.24,8675264330.24,0.0,0.0
60000.0,8682194330.24,8682194330.24,0.0,0.0
65000.0,8689124330.24,8689124330.24,0.0,0.0
70000.0,8696054330.24,8696054330.24,0.0,0.0
75000.0,8702984330.24,8702984330.24,0.0,0.0
80000.0,8709914330.24,8709914330.24,0.0,0.0
85000.0,8716844330.24,8716844330.24,0.0,0.0
90000.0,8723774330.24,8723774330.24,0.0,0.0
95000.0,8730704330.24,8730704330.24,0.0,0.0
100000.0,8737634330.24,8737634330.24,0.0,0.0
105000.0,8744564330.24,8744564330.24,0.0,0.0
110000.0,8751494330.24,8751494330.24,0.0,0.0
115000.0,8758424330.24,8758424330.24,0.0,0.0
120000.0,8765354330.24,8765354330.24,0.0,0.0
125000.0,8772284330.24,8772284330.24,0.0,0.0
130000.0,8779214330.24,8779214330.24,0.0,0.0
135000.0,8786144330.24,8786144330.24,0.0,0.0
140000.0,8793074330.24,8793074330.24,0.0,0.0
145000.0,8800004330.24,8800004330.24,0.0,0.0
150000.0,8806934330.24,8806934330.24,0.0,0.0
155000.0,8813864330.24,8813864330.24,0.0,0.0
160000.0,8820794330.24,8820794330.24,0.0,0.0
165000.0,8827724330.24,8827724330.24,0.0,0.0
170000.0,8834654330.24,8834654330.24,0.0,0.0
175000.0,8841584330.24,8841584330.24,0.0,0.0
180000.0,8848514330.24,8848514330.24,0.0,0.0
185000.0,8855444330.24,8855444330.24,0.0,0.0
190000.0,8862374330.24,8862374330.24,0.0,0.0
195000.0,8869304330.24,8869304330.24,0.0,0.0
200000.0,8876234330.24,8876234330.24,0.0,0.0
205000.0,8883164330.24,8883164330.24,0.0,0.0
210000.0,8890094330.24,8890094330.24,0.0,0.0
215000.0,8897024330.24,8897024330.24,0.0,0.0
220000.0,8903954330.24,8903954330.24,0.0,0.0
225000.0,8910884330.24,8910884330.24,0.0,0.0
230000.0,8917814330.24,8917814330.24,0.0,0.0
235000.0,8924744330.24,8924744330.24,0.0,0.0
240000.0,8931674330.24,8931674330.24,0.0,0.0
245000.0,8938604330.24,8938604330.24,0.0,0.0
250000.0,8945534330.24,8945534330.24,0.0,0.0
255000.0,8952464330.24,8952464330.24,0.0,0.0
260000.0,8959394330.24,8959394330.24,0.0,0.0
265000.0,8966324330.24,8966324330.24,0.0,0.0
270000.0,8973254330.24,8973254330.24,0.0,0.0
275000.0,8980184330.24,8980184330.24,0.0,0.0
280000.0,8987114330.24,8987114330.24,0.0,0.0
285000.0,8994044330.24,8994044330.24,0.0,0.0
290000.0,9000974330.24,9000974330.24,0.0,0.0
295000.0,9007904330.24,9007904330.24,0.0,0.0
300000.0,9014834330.24,9014834330.24,0.0,0.0
305000.0,9021764330.24,9021764330.24,0.0,0.0
310000.0,9028694330.24,9028694330.24,0.0,0.0
315000.0,9035624330.24,9035624330.24,0.0,0.0
320000.0,9042554330.24,9042554330.24,0.0,0.0
325000.0,9049484330.24,9049484330.24,0.0,0.0
330000.0,9056414330.24,9056414330.24,0.0,0.0
335000.0,9063344330.24,9063344330.24,0.0,0.0
340000.0,9070274330.24,9070274330.24,0.0,0.0
345000.0,9077204330.24,9077204330.24,0.0,0.0
350000.0,9084134330.24,9084134330.24,0.0,0.0
355000.0,9091064330.24,9091064330.24,0.0,0.0
