signature,count,status,reason,lp_vars,lp_constrs,n_pieces,error
allgather_ring_simple_9913920B_8r_16ch,1,ok,lp,4748,10248,2,
allgather_ring_simple_4535232B_8r_16ch,4,ok,lp,4748,10248,2,
reducescatter_ring_simple_25165824B_8r_16ch,16,ok,lp,9356,20488,2,
allgather_ring_simple_37748736B_8r_16ch,64,ok,lp,13964,30728,2,
allgather_ring_simple_4435392B_8r_16ch,4,ok,lp,4748,10248,2,
allgather_ring_simple_4535424B_8r_16ch,1,ok,lp,4748,10248,2,
allgather_ring_simple_6168576B_8r_16ch,1,ok,lp,4748,10248,2,
allgather_ring_simple_25165824B_8r_16ch,24,ok,lp,9356,20488,2,
allgather_ring_ll_98304B_8r_16ch,8,ok,lp,1932,4616,2,
reducescatter_ring_simple_6168576B_8r_16ch,1,ok,lp,4748,10248,2,
reducescatter_ring_simple_37748736B_8r_16ch,64,ok,lp,13964,30728,2,
reducescatter_ring_simple_4535424B_8r_16ch,1,ok,lp,4748,10248,2,
reducescatter_ring_simple_4435392B_8r_16ch,4,ok,lp,4748,10248,2,
reducescatter_ring_simple_4535232B_8r_16ch,4,ok,lp,4748,10248,2,
reducescatter_ring_simple_9913920B_8r_16ch,1,ok,lp,4748,10248,2,
allreduce_ring_ll128_7876608B_8r_16ch,1,ok,lp,588,2824,1,
