bw_gbps,G_inter_ns_per_byte,fixed_l_ns,runtime_ns,runtime_ms,supported_collectives,unsupported_collectives,n_unique_sigs,solved_unique_sigs,cache_hits,lp_vars,lp_constrs,unique_solve_time_s,wall_time_s
10.0,0.8,4000.0,16107012947.600002,16107.012947600002,136,12,8,8,0,10438720,19832832,844.1707360744476,109.302321434021
13.061898807009953,0.6124683798428009,4000.0,12345624534.139265,12345.624534139266,136,12,8,8,0,10438720,19832832,851.5850660800934,109.95797991752625
17.061320044456814,0.4688968953840815,4000.0,9465964124.024641,9465.964124024642,136,12,8,8,0,10438720,19832832,849.8312065601349,110.28550457954407
22.285323593470558,0.35898065228650944,4000.0,7261348085.099511,7261.348085099511,136,12,8,8,0,10438720,19832832,856.4869124889374,115.60497546195984
29.108864165938385,0.27483037312603786,4000.0,5573521269.117096,5573.521269117096,136,12,8,8,0,10438720,19832832,846.4998464584351,109.13747429847717
38.02170381224854,0.2104061417001211,4000.0,4281341018.8281956,4281.341018828196,136,12,8,8,0,10438720,19832832,853.8379893302917,109.5720841884613
49.66356476656952,0.16108388589505987,4000.0,3292081760.1927567,3292.0817601927565,136,12,8,8,0,10438720,19832832,850.738397359848,109.79865264892578
64.87004573763163,0.12332348326616234,4000.0,2534696717.377682,2534.696717377682,136,12,8,8,0,10438720,19832832,858.6965758800507,114.9719455242157
84.73259730310517,0.09441466749074652,4000.0,1954859038.3863773,1954.8590383863773,136,12,8,8,0,10438720,19832832,851.4352564811707,109.44941258430481
110.67686116282843,0.07228249803931786,4000.0,1510943770.9310193,1510.9437709310193,136,12,8,8,0,10438720,19832832,861.1217832565308,116.40073704719543
144.5649960786355,0.0553384305814143,4000.0,1171096722.6155717,1171.0967226155717,136,12,8,8,0,10438720,19832832,859.3136587142944,109.94523572921753
188.82933498149293,0.04236629865155261,4000.0,910909545.2672496,910.9095452672495,136,12,8,8,0,10438720,19832832,883.4110312461853,125.89891076087952
246.64696653232454,0.03243502286881583,4000.0,711720518.2369667,711.7205182369668,136,12,8,8,0,10438720,19832832,863.2454812526703,119.48533034324646
322.1677717901194,0.024831782383284786,4000.0,559218091.0339671,559.2180910339671,136,12,8,8,0,10438720,19832832,854.1778011322021,110.91096496582031
420.812283400242,0.01901085190612428,4000.0,442456013.5100038,442.4560135100038,136,12,8,8,0,10438720,19832832,852.6845703125,109.41698932647705
549.6607462520756,0.014554432082969198,4000.0,353088364.310849,353.088364310849,136,12,8,8,0,10438720,19832832,860.3485140800476,118.34139895439148
717.9613045730187,0.011142661796735284,4000.0,285254757.82918644,285.2547578291864,136,12,8,8,0,10438720,19832832,850.3809885978699,109.15108799934387
937.7937907681621,0.008530660022228416,4000.0,246366005.7287996,246.36600572879962,136,12,8,8,0,10438720,19832832,857.5599296092987,113.18306255340576
1224.9367596856,0.006530949403504986,4000.0,230660966.97036496,230.66096697036497,136,12,8,8,0,10438720,19832832,856.3577010631561,115.81626868247986
1600.0,0.005,4000.0,229424759.83999997,229.42475983999998,136,12,8,8,0,10438720,19832832,857.2843742370605,110.41828608512878
