target_latency_ns,node_count,gpu_count,input_class,goal_source,goal_available,goal_size_mb,sidecar_source,sidecar_available,sidecar_size_mb,hw_status,hw_ms_max,hw_ms_mean,hw_rank_count,collective_rows,collective_instances,composite_lp_status,composite_lp_source,composite_lp_t0_ms,composite_lp_target_ms,lgs_status,lgs_source,lgs_t0_ms,lgs_target_ms,monolithic_lp_status,monolithic_lp_source,monolithic_lp_t0_ms,monolithic_lp_target_ms,monolithic_lp_metadata_source,monolithic_lp_wall_s,monolithic_lp_rss_mb,monolithic_lp_num_vertices,monolithic_lp_num_edges,monolithic_lp_num_vars,monolithic_lp_num_constraints,composite_lp_vs_hw_pct,lgs_vs_hw_pct,monolithic_lp_vs_hw_pct
250000.0,4,16,scratch_real_grok,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/workspaces/grok/N4/analysis/output.goal,True,222.788083,/home/hpcuser/SC_Tracing/data/revalidation/grok_N4_commdep/comm_dep.csv,True,10.092226,ok,6202.184032,6071.8563526875,16,7312,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/workspaces/grok/N4/analysis/collective_instances.csv,ok,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/output/grok_n4/comp/sweeps/composed_runtime.csv,6060.225123719999,6062.25807188,ok,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/output/grok_n4/lgs/sweeps/lgs_runtime.csv,6125.225735,6128.688383,ok,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/output/grok_n4/monolithic_multi_latency/sweeps/full_runtime.csv,6057.369088719999,6061.869088719999,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/output/grok_n4/monolithic_multi_latency/sweeps/full_runtime.csv.json,264.0654532890767,5038.78125,3666526.0,4980486.0,1018316.0,2332352.0,-2.2560755920504123,-1.184996262942241,-2.2623473046921836
250000.0,8,32,scratch_real_grok,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/workspaces/grok/N8/analysis/output.goal,True,245.24521,,False,,ok,5257.040015,5043.1025236875,32,7520,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/workspaces/grok/N8/analysis/collective_instances.csv,ok,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/output/grok_n8/comp/sweeps/composed_runtime.csv,4911.804783200001,4921.68965128,ok,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/output/grok_n8/lgs/sweeps/lgs_runtime.csv,5086.301484,5093.81725,ok,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/output/grok_n8/monolithic_multi_latency/sweeps/full_runtime.csv,4983.863043199998,4997.831427239998,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/output/grok_n8/monolithic_multi_latency/sweeps/full_runtime.csv.json,263.4723728336394,5670.64453125,4061600.0,5576960.0,1164004.0,2679520.0,-6.3790719257060715,-3.1048415940200815,-4.930694592782192
250000.0,16,64,scratch_real_grok,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/workspaces/grok/N16/analysis/output.goal,True,555.472264,,False,,ok,9961.440575,9743.210504046874,64,12224,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/workspaces/grok/N16/analysis/collective_instances.csv,ok,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/output/grok_n16/comp/sweeps/composed_runtime.csv,9383.57807976,9424.15957672,ok,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/output/grok_n16/lgs/sweeps/lgs_runtime.csv,9602.122869,9630.503541,ok,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/output/grok_n16/monolithic_multi_latency/sweeps/full_runtime.csv,8236.85708512,8237.60708512,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/output/grok_n16/monolithic_multi_latency/sweeps/full_runtime.csv.json,556.8165143411607,11642.27734375,8512334.0,12647238.0,3042236.0,7177520.0,-5.393607422890247,-3.3221804768935286,-17.305062223693486
250000.0,32,128,scratch_real_grok,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/workspaces/grok/N32/analysis/output.goal,True,2451.341492,,False,,ok,9459.764749,9279.54984383594,128,26752,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/workspaces/grok/N32/analysis/collective_instances.csv,ok,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/output/grok_n32/comp/sweeps/composed_runtime.csv,8337.4377934,8504.524862600001,ok,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/output/grok_n32/lgs/sweeps/lgs_runtime.csv,9556.81558,9607.194149,ok,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/output/grok_n32/monolithic_multi_latency/sweeps/full_runtime.csv,8095.930766359999,8098.4894446,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/output/grok_n32/monolithic_multi_latency/sweeps/full_runtime.csv.json,3166.61430609785,49686.9375,35242350.0,53195238.0,13416956.0,31370608.0,-10.097924332642394,1.5584890735848984,-14.390160226171604
250000.0,64,256,scratch_real_grok,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/workspaces/grok/N64/analysis/output.goal,True,8410.598614,/home/hpcuser/SC_Tracing/data/revalidation/grok_N64_commdep_lgs/comm_dep.csv,True,493.713839,ok,9562.007008,9378.000752085938,256,53504,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/workspaces/grok/N64/analysis/collective_instances.csv,ok,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/output/grok_n64/comp/sweeps/composed_runtime.csv,8600.000999160002,8945.54691836,ok,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/output/grok_n64/lgs/sweeps/lgs_runtime.csv,9801.120717,9950.388113,ok,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/output/grok_n64/monolithic_multi_latency/sweeps/full_runtime.csv,8072.66939416,8085.440811719999,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/output/grok_n64/monolithic_multi_latency/sweeps/full_runtime.csv.json,25281.0,165677.9765625,114000750.0,170878182.0,42824828.0,99703792.0,-6.446973832211613,4.061711152010906,-15.442011233045953
250000.0,128,512,scratch_real_grok,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/workspaces/grok/N128/analysis/output.goal,True,16985.969401,,False,,ok,8530.95149,8348.795374404297,512,107008,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/workspaces/grok/N128/analysis/collective_instances.csv,ok,/mnt/scratch/GrokStudyCodex/Traces_Compression/output/grok_n128/comp/sweeps/composed_runtime.csv,8096.343034640001,8794.722654240002,ok,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/output/grok_n128/lgs/sweeps/lgs_runtime.csv,8973.541568,9367.601003,target_outside_range_4000_4000,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/output/grok_n128/monolithic/sweeps/full_runtime.csv,7137.089906400024,,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/output/grok_n128/monolithic/sweeps/full_runtime.csv.json,15720.234705988318,263479.26953125,223332206.0,343542502.0,80570748.0,200784112.0,3.0919313578232845,9.807223895021824,
250000.0,256,1024,scratch_real_grok,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/workspaces/grok/N256/analysis/output.goal,True,64240.649991,,False,,ok,8809.18672,8636.854241997069,1024,214016,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/workspaces/grok/N256/analysis/collective_instances.csv,ok,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/output/grok_n256/comp/sweeps/composed_runtime.csv,7498.382941686076,8753.122992200022,ok,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/output/grok_n256/lgs/sweeps/lgs_runtime.csv,9168.341365,10053.471157,missing,,,,,,,,,,,-0.6364234245675933,14.124850301731376,
250000.0,512,2048,scratch_real_grok,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/workspaces/grok/N512/analysis/output.goal,True,260732.436782,,False,,ok,8824.132669,8599.175063014649,2048,428032,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/workspaces/grok/N512/analysis/collective_instances.csv,ok,/mnt/scratch/SC_Tracing_final_scratch_rerun_20260627/grok/output/grok_n512/comp/sweeps/composed_runtime.csv,7554.133359686076,10218.187611400064,ok,new_results/final_scratch_rerun_20260627/derived_lgs/grok_N512_lgs_from_stats.csv,8958.24441,10941.378397,missing,,,,,,,,,,,15.798209237011005,23.993811147446607,
